Name,PrivacyPolicyURL,LLM Q1,LLM Q2,LLM Q3
gravyanalytics,https://docs.gravyanalytics.com/privacypolicy.html,"[1, 1, 0, 0, 1]","[1, 1, 1]","[1, 0, 1, 0, 0, 1]"
kontextdata,https://www.kontextdata.com/privacy,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 0, 0, 1]"
familytreenow,https://www.familytreenow.com/privacy,"[1, 1, 0, 0, 2]","[2, 1, 2]","[1, 1, 1, 1, 1, 1]"
instantcheckmate,https://www.instantcheckmate.com/privacy-policy/,"[1, 1, 0, 0, 2]","[1, 1, 2]","[1, 1, 1, 1, 0, 1]"
birchwoodcreditservices,https://www.birchwoodcreditservices.com/privacy-policy/,"[1, 1, 2, 2, 2]","[2, 1, 2]","[0, 0, 0, 0, 0, 1]"
searchbug,https://www.searchbug.com/privacy.aspx,"[0, 0, 1, 1, 2]","[2, 1, 0]","[0, 0, 1, 0, 1, 1]"
simiocloud,https://www.simiocloud.com/simiocloud-products-services-privacy-policy/,"[1, 1, 1, 2, 2]","[2, 1, 2]","[1, 0, 0, 0, 1, 1]"
preciselysoftwareincorporated,https://www.precisely.com/legal/privacy-notices,"[1, 1, 2, 2, 1]","[1, 1, 2]","[1, 1, 1, 0, 0, 1]"
contactout,https://contactout.com/privacy,"[2, 2, 1, 2, 2]","[2, 1, 2]","[1, 1, 1, 0, 0, 1]"
contemporaryinformationcorp,https://www.cicreports.com/legal-and-privacy-policy/,"[1, 2, 1, 2, 2]","[2, 1, 2]","[1, 1, 1, 0, 0, 1]"
catalina,https://www.catalina.com/privacy-policy/,"[1, 1, 2, 1, 2]","[2, 1, 2]","[1, 1, 1, 0, 0, 1]"
beeswax,https://www.beeswax.com/privacy/,"[1, 1, 2, 2, 1]","[1, 1, 2]","[1, 1, 1, 1, 1, 1]"
v12privacy,https://porchgroupmedia.com/privacy-policy/,"[1, 1, 2, 2, 2]","[1, 1, 2]","[1, 1, 1, 1, 0, 1]"
acronymix,https://acronymix.com/privacy-policy/,"[1, 1, 2, 1, 2]","[2, 1, 2]","[1, 0, 1, 1, 1, 1]"
wisdommediagroup,https://www.wisdommediagroupllc.com/privacy.php,"[2, 2, 2, 2, 2]","[2, 1, 2]","[0, 0, 0, 0, 0, 1]"
stuartmcnair,https://www.fusable.com/legal/website-terms-and-privacy-notice,"[1, 1, 1, 1, 2]","[2, 1, 2]","[1, 1, 1, 0, 1, 1]"
fushiamedia,https://www.fushiamedia.com/privacy,"[1, 1, 2, 1, 2]","[2, 1, 1]","[1, 0, 1, 0, 1, 1]"
alc,https://adstradata.com/privacy-policy/,"[1, 1, 2, 2, 2]","[1, 1, 2]","[1, 1, 1, 1, 0, 1]"
demandscienceus,https://demandscience.com/privacy-policy/,"[1, 1, 1, 2, 2]","[1, 1, 2]","[1, 1, 1, 1, 0, 1]"
kloudend,https://www.ipapi.co/privacy/,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 1, 1]"
rpmdirect,https://www.exlservice.com/privacy-policy,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 1, 1]"
clarityservices,https://www.clarityservices.com/privacy-policy/,"[1, 2, 2, 1, 2]","[2, 1, 2]","[0, 0, 0, 0, 0, 0]"
atlanticfoxtechnologies,https://www.atlanticfox.com/privacy-policy/,"[1, 2, 2, 2, 1]","[2, 1, 2]","[0, 0, 0, 0, 0, 0]"
snovio,https://www.snov.io/privacy-policy,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 0, 1]"
informationdataresources,https://www.publicinfoservices.com/help-center/privacy,"[1, 1, 0, 0, 1]","[1, 1, 2]","[1, 1, 1, 1, 1, 1]"
thepeoplesearchers,https://www.peoplesearcher.com/optout/name/landing,"[1, 1, 0, 0, 1]","[1, 1, 2]","[1, 1, 1, 1, 1, 1]"
biscred,https://www.biscred.com/privacy-policy,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 0, 0, 1]"
veraset,https://www.veraset.com/privacy-policy,"[1, 1, 2, 2, 1]","[1, 1, 1]","[0, 0, 0, 0, 0, 1]"
blackpearlgrouplimited,https://www.blackpearl.com/privacy-policy,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 0, 1]"
viantus,https://s42464.pcdn.co/wp-content/uploads/2025/02/viant-website-privacy-policy-2.12.2025-final.docx-google-docs.pdf,"[2, 2, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 0, 0, 0]"
intalytics,https://www.kalibrate.com/privacy-policy/,"[1, 1, 1, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 0, 1]"
rategainadara,https://adara.com/privacy-promise/,"[1, 1, 2, 0, 2]","[2, 1, 2]","[1, 1, 1, 1, 1, 1]"
datamail,https://www.data-management.com/privacy-policy,"[2, 2, 2, 2, 2]","[2, 1, 2]","[0, 0, 0, 0, 0, 1]"
throtle,https://www.throtle.io/website-privacy-policy,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 0, 1, 0, 0, 1]"
clearcompany,https://www.clearcompany.com/privacy-policy/,"[1, 1, 1, 2, 1]","[1, 1, 2]","[1, 1, 1, 1, 0, 1]"
33across,https://www.33across.com/privacy-policy/ccpa-notice/,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 0, 1]"
researchusa,https://researchusallc.com/privacy-policy/,"[1, 1, 2, 2, 2]","[2, 1, 2]","[0, 0, 0, 0, 0, 1]"
mogean,https://www.mogean.com/privacy-policy,"[1, 1, 2, 2, 1]","[1, 1, 2]","[0, 1, 1, 0, 0, 1]"
zenleads,https://www.apollo.io/privacy-policy,"[1, 1, 2, 2, 1]","[1, 1, 2]","[1, 1, 1, 0, 1, 1]"
lookify,https://www.lookify.io/privacy-policy,"[1, 1, 0, 0, 1]","[1, 1, 2]","[1, 1, 1, 1, 0, 1]"
infinitemediaconcepts,https://www.mailinglists.com/about/privacy-policy/,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 1, 1]"
automotivemastermind,https://www.automotivemastermind.com/privacy-policy,"[1, 1, 2, 2, 1]","[1, 1, 2]","[1, 1, 1, 1, 1, 1]"
connextdigital,https://www.connextdigital.com/privacy-policy/,"[1, 1, 2, 2, 2]","[2, 1, 2]","[0, 0, 1, 0, 0, 1]"
aisrecoverysolutions,https://aisrecovery.com/privacy-policy/,"[2, 1, 1, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 1, 1]"
bdogci,https://www.bdo.com/privacy-policy,"[1, 1, 1, 2, 1]","[1, 1, 2]","[1, 1, 1, 1, 1, 1]"
infomatics,https://www.privatereports.com/optout/name/landing,"[1, 1, 0, 0, 1]","[1, 1, 2]","[1, 1, 1, 1, 1, 1]"
emailmarketingservices,https://listmatch.com/privacy/privacy.php,"[1, 1, 2, 2, 1]","[1, 1, 2]","[1, 1, 1, 1, 0, 1]"
annelewisstrategies,https://missionwired.com/privacy-policy/,"[1, 1, 2, 2, 1]","[1, 1, 2]","[1, 1, 1, 1, 0, 1]"
bdousallp,https://www.bdo.com/website-terms-and-conditions,"[1, 1, 1, 2, 1]","[1, 1, 2]","[1, 1, 1, 1, 1, 1]"
labelslists,https://www.l2-data.com/privpageopt-009087675/,"[1, 1, 2, 2, 0]","[0, 1, 2]","[1, 1, 1, 0, 0, 1]"
sovrn,https://www.sovrn.com/privacy-policy/privacy-policy/,"[1, 1, 2, 2, 0]","[1, 1, 2]","[1, 1, 1, 1, 0, 1]"
dealerdirect,https://www.forddirect.com/privacy,"[1, 1, 0, 1, 2]","[2, 1, 2]","[1, 1, 1, 1, 1, 1]"
magnite,https://www.magnite.com/legal/magnite-website-privacy-policy/,"[1, 2, 1, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 1, 1]"
path2response,https://path2response.com/privacy-policy/,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 0, 1]"
videoamp,https://videoamp.com/privacy-policy/,"[1, 1, 2, 2, 2]","[2, 1, 2]","[0, 0, 0, 0, 0, 0]"
idology,https://www.idology.com/en/privacy-policy/,"[1, 1, 0, 0, 2]","[2, 1, 2]","[1, 1, 1, 1, 1, 1]"
backgroundinformationservices,https://www.bisi.com/?pg=privacy,"[1, 2, 1, 2, 1]","[1, 1, 2]","[1, 1, 1, 1, 1, 1]"
lsmobileappsholdingsltd,https://www.lsmapps.com/privacy-policy,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 0, 1]"
aristotleinternational,https://www.aristotle.com/privacy/,"[1, 1, 1, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 1, 1]"
cuebiqgroup,https://www.cuebiq.com/privacypolicy/,"[1, 1, 0, 0, 2]","[2, 1, 1]","[1, 1, 1, 1, 0, 1]"
kargoglobal,https://www.kargo.com/privacy,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 0, 1]"
americancitybusinessjournals,https://www.acbj.com/privacy,"[1, 1, 2, 2, 2]","[1, 1, 2]","[1, 1, 1, 1, 0, 1]"
venntel,https://www.venntel.com/privacy-policy?hslang=en,"[1, 1, 0, 0, 1]","[1, 1, 2]","[1, 0, 1, 1, 0, 1]"
infocore,https://infocore.com/privacy/,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 0, 0, 1]"
6senseinsights,https://6sense.com/privacy-policy/,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 0, 1]"
xome,https://www.xome.com/pages/privacy-policy,"[1, 1, 2, 1, 2]","[2, 1, 2]","[1, 1, 1, 0, 1, 1]"
zetaglobalcorp,https://zetaglobal.com/privacy-policy/,"[1, 1, 0, 0, 2]","[2, 1, 2]","[1, 1, 1, 1, 1, 1]"
demystdataltd,https://www.demyst.com/privacy-policy,"[1, 1, 2, 0, 2]","[2, 1, 2]","[1, 1, 1, 1, 0, 1]"
nativo,https://www.nativo.com/privacy-policy,"[1, 1, 2, 2, 2]","[1, 1, 2]","[1, 1, 1, 1, 1, 1]"
comscore,https://www.comscore.com/about/privacy-policy,"[1, 1, 2, 2, 2]","[2, 1, 1]","[1, 1, 1, 1, 1, 1]"
knowledgeworks,https://www.equifax.com/privacy/,"[2, 1, 2, 1, 2]","[2, 1, 2]","[1, 1, 1, 0, 0, 1]"
datadelivers,https://datadelivers.com/privacy-policy/,"[1, 1, 2, 0, 1]","[1, 1, 2]","[1, 1, 1, 1, 1, 1]"
datonics,https://www.datonics.com/privacy/technology-privacy-policy,"[1, 1, 2, 2, 2]","[2, 1, 2]","[0, 0, 0, 0, 0, 0]"
bookyourdata,https://www.bookyourdata.com/privacy-policy,"[1, 1, 2, 2, 1]","[1, 1, 2]","[1, 1, 1, 0, 1, 1]"
raycdp,https://www.rayinsights.com/privacy-policy/,"[1, 1, 2, 2, 1]","[1, 1, 2]","[1, 1, 1, 0, 1, 1]"
ileadscom,https://ileads.com/company/privacy-policy/,"[1, 1, 2, 1, 2]","[2, 1, 2]","[1, 0, 1, 1, 0, 1]"
richmedia,https://richmediallc.com/privacy-policy/,"[1, 1, 2, 0, 2]","[2, 1, 2]","[1, 0, 1, 1, 0, 1]"
usdata,https://www.usdatacorporation.com/privacy-policy/,"[1, 1, 0, 0, 2]","[2, 1, 2]","[1, 1, 1, 1, 0, 1]"
infopay,https://www.infopay.com/privacy,"[1, 0, 1, 2, 1]","[1, 1, 2]","[1, 1, 1, 1, 1, 1]"
theopendatapeople,https://www.openpeoplesearch.com/privacy,"[0, 1, 0, 0, 2]","[2, 1, 2]","[0, 0, 1, 0, 1, 1]"
amrent,https://www.amrent.com/privacy_policy.html,"[0, 2, 2, 1, 2]","[1, 1, 2]","[1, 1, 0, 0, 0, 0]"
venpath,https://www.venpath.net/legal/privacy-notice,"[1, 1, 2, 2, 1]","[1, 1, 1]","[1, 1, 1, 1, 1, 1]"
censia,https://www.censia.com/privacy-policy/,"[1, 1, 1, 2, 2]","[1, 1, 2]","[1, 1, 1, 1, 1, 1]"
eyeotapteltd,https://www.eyeota.com/privacy-center,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 1, 1]"
attomdatasolutions,https://www.attomdata.com/privacy/,"[1, 1, 2, 1, 1]","[1, 1, 2]","[1, 1, 1, 1, 0, 1]"
leadintelligence,https://www.marketing.verisk.com/privacy-center/,"[1, 1, 2, 2, 1]","[1, 1, 2]","[1, 0, 1, 1, 0, 1]"
fanspoko,https://www.fantasysportsknockout.com/info/privacy-policy/,"[1, 1, 2, 2, 1]","[1, 1, 2]","[1, 1, 1, 0, 1, 1]"
incheck,https://www.inchecksolutions.com/privacy-policy/,"[1, 1, 1, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 1, 1]"
connectedinvestors,https://connectedinvestors.com/privacy-policy,"[1, 1, 2, 1, 1]","[1, 1, 2]","[1, 1, 1, 1, 0, 1]"
telesign,https://www.telesign.com/privacy-notice,"[1, 1, 2, 2, 2]","[1, 1, 2]","[1, 1, 1, 1, 1, 1]"
whitepages,https://www.whitepages.com/privacy,"[1, 1, 2, 2, 1]","[1, 1, 2]","[1, 1, 0, 0, 1, 1]"
advisortarget,https://www.finsum.com/index.php/what-we-do/privacy-policy,"[1, 1, 2, 2, 2]","[1, 1, 1]","[1, 1, 1, 1, 1, 1]"
enigmatechnologies,https://enigma.com/company/privacy-policy,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 0, 1]"
insightbridge,https://www.mylife.com/privacy-policy,"[1, 1, 1, 2, 1]","[2, 1, 2]","[1, 1, 1, 1, 0, 1]"
pmgworldwide,https://www.pmg.com/privacy-policy,"[1, 1, 0, 0, 2]","[2, 1, 2]","[1, 1, 1, 1, 0, 1]"
getemails,https://www.retention.com/article-update-privacy-policy,"[1, 1, 2, 1, 2]","[2, 1, 2]","[1, 0, 1, 1, 0, 1]"
peoplefindersdaas,https://www.peoplefindersdaas.com/privacy-policy,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 0, 1]"
choreographllp,https://www.choreograph.com/global-privacy-policy/global-privacy-policy-english,"[1, 1, 2, 2, 1]","[1, 1, 2]","[1, 1, 1, 0, 0, 1]"
pipl,http://pipl.com/resources/privacy-documents/privacy-policy,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 0, 1]"
bluehillmarketingsolutions,https://www.liftengine.com/privacy-policy/,"[1, 1, 2, 2, 2]","[2, 0, 2]","[1, 1, 0, 0, 1, 1]"
scalablecommerce,https://www.kidslivesafe.com/help-center/privacy,"[1, 1, 0, 0, 1]","[1, 1, 2]","[1, 1, 1, 1, 0, 1]"
predactiv,https://www.predactiv.com/privacy,"[1, 1, 2, 2, 2]","[1, 1, 2]","[1, 1, 1, 1, 1, 1]"
scileadsltd,https://scileads.com/privacy-policy/,"[1, 1, 1, 2, 2]","[2, 1, 1]","[1, 1, 1, 0, 1, 1]"
openxtechnologies,https://www.openx.com/privacy-center/privacy-policy/,"[1, 2, 2, 2, 1]","[1, 1, 2]","[0, 0, 0, 0, 0, 1]"
giantpartners,https://giantpartners.com/privacy-policy/,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 0, 1]"
equimine,https://www.propstream.com/privacy-policy,"[1, 1, 2, 2, 1]","[1, 1, 2]","[1, 1, 1, 1, 1, 1]"
addressclearinghouse,https://www.achcoop.com/privacy-policy,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 0, 1]"
grassrootsanalytics,https://www.grassrootsanalytics.com/website-privacypolicy,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 0, 1, 1]"
modernize,https://modernize.com/privacy,"[1, 1, 2, 1, 2]","[2, 1, 2]","[1, 1, 1, 1, 0, 1]"
dynata,https://www.dynata.com/privacy-policy/,"[1, 1, 1, 2, 0]","[1, 1, 1]","[1, 1, 1, 0, 0, 1]"
autoweb,https://www.autoweb.com/privacy,"[1, 1, 1, 2, 1]","[1, 1, 2]","[1, 1, 1, 1, 1, 1]"
crosspixelmedia,https://www.crosspixel.net/privacy-policy/,"[1, 1, 2, 2, 2]","[2, 1, 1]","[1, 0, 1, 1, 1, 1]"
lifesight,https://lifesight.io/privacy-policy/,"[1, 1, 2, 2, 1]","[1, 1, 2]","[1, 1, 1, 0, 1, 1]"
aisportfolioservices,https://www.aisinfo.com/privacy?hslang=en,"[1, 1, 1, 1, 1]","[1, 1, 2]","[1, 1, 1, 1, 1, 1]"
mhsubi,https://www.internetbrands.com/privacy/privacy-main,"[1, 1, 1, 1, 1]","[1, 1, 1]","[1, 1, 1, 1, 0, 1]"
jdmlistservices,https://www.jdmlistservices.com/privacy-policy,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 1, 1]"
exactopco,https://www.remodelyourhome.com/policy.html,"[1, 1, 2, 1, 0]","[1, 1, 2]","[1, 1, 1, 1, 0, 1]"
prodpro,https://app.prodpro.com/privacy-policy,"[1, 1, 1, 2, 1]","[1, 1, 2]","[1, 1, 1, 0, 0, 1]"
lexisnexisrisksolutionsfl,https://risk.lexisnexis.com/corporate/privacy-policy,"[1, 1, 2, 2, 1]","[1, 1, 2]","[1, 1, 1, 0, 0, 1]"
unmask,https://www.unmask.com/privacy-policy/,"[1, 1, 0, 0, 2]","[2, 1, 2]","[1, 1, 1, 1, 1, 1]"
sambatv,https://www.samba.tv/users/privacy-policy,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 1, 1]"
intelius,https://www.intelius.com/privacy-policy/,"[1, 1, 0, 0, 1]","[1, 1, 1]","[1, 1, 1, 1, 0, 1]"
trestlesolutions,https://trestleiq.com/privacy-policy/,"[1, 1, 2, 2, 1]","[1, 1, 2]","[1, 1, 1, 1, 1, 1]"
digitalsegment,https://www.digitalsegment.com/about/privacy-policy/,"[1, 1, 2, 2, 2]","[2, 1, 2]","[0, 0, 0, 0, 0, 1]"
swoopcom,https://www.swoop.com/privacy_notice,"[1, 1, 2, 2, 1]","[1, 1, 1]","[1, 1, 1, 1, 1, 1]"
valassisdirectmail,https://www.valassis.com/privacy-policy,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 0, 1, 1]"
oracleamerica,https://www.oracle.com/legal/privacy/privacy-policy/,"[1, 1, 2, 2, 0]","[2, 1, 2]","[1, 1, 1, 0, 0, 1]"
tl1mktslsl,https://www.tl1mkt.com/privacy.html,"[1, 1, 1, 2, 0]","[2, 1, 2]","[1, 1, 1, 0, 1, 1]"
jungroupproductions,https://www.jungroup.com/optout,"[1, 1, 0, 2, 1]","[1, 1, 1]","[1, 1, 1, 0, 0, 1]"
harmonresearchgroup,https://www.harmonresearch.com/privacy-policy,"[1, 2, 2, 2, 2]","[2, 1, 2]","[0, 0, 1, 0, 1, 1]"
traackr,https://www.traackr.com/privacy-policy,"[1, 2, 2, 2, 1]","[1, 1, 2]","[1, 1, 1, 1, 0, 1]"
catalyzeai,https://www.catalyzeai.com/privacy-policy,"[1, 1, 2, 1, 0]","[0, 1, 2]","[1, 1, 1, 0, 0, 1]"
civildataresearch,https://www.searchpublicrecords.com/help-center/privacy,"[1, 1, 0, 0, 1]","[1, 1, 2]","[1, 1, 1, 1, 0, 1]"
dealersocket,https://dealersocket.com/privacy-policy/,"[1, 1, 1, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 0, 1]"
forewarn,https://www.forewarn.com/privacy-policy/,"[1, 2, 0, 0, 1]","[1, 1, 2]","[0, 0, 0, 0, 0, 1]"
guidestardirectcorp,https://www.carneydirect.com/privacy-policy/,"[1, 2, 2, 2, 2]","[2, 1, 2]","[1, 1, 0, 0, 1, 1]"
abovedata,https://www.abovedata.io/privacy-policy/,"[1, 1, 1, 2, 2]","[2, 2, 2]","[1, 1, 1, 0, 1, 1]"
btrsholdings,https://www.billtrust.com/legal/privacy-policy,"[1, 1, 2, 2, 1]","[1, 1, 2]","[1, 1, 1, 1, 1, 1]"
revealmobile,https://revealmobile.com/privacy/,"[1, 1, 2, 2, 2]","[1, 1, 1]","[1, 1, 1, 0, 1, 1]"
lionsharemarketing,https://www.lionsharemarketing.com/privacy-policy/,"[1, 1, 2, 2, 1]","[1, 1, 2]","[0, 1, 1, 0, 1, 1]"
qualityplanning,https://www.verisk.com/privacy-policies/,"[1, 1, 1, 2, 1]","[1, 1, 2]","[1, 1, 1, 0, 0, 1]"
lead411,https://www.lead411.com/privacy-policy/,"[1, 1, 1, 2, 2]","[1, 1, 2]","[1, 1, 1, 0, 1, 1]"
digitalsafetyproducts,https://www.spyfly.com/help-center/privacy,"[1, 1, 0, 0, 1]","[1, 1, 2]","[1, 1, 1, 1, 0, 1]"
costargroup,https://www.costar.com/about/privacy-notice,"[1, 1, 2, 1, 2]","[2, 1, 2]","[1, 1, 1, 1, 0, 1]"
nuwber,https://www.nuwber.com/policy,"[1, 1, 0, 0, 2]","[2, 1, 2]","[1, 1, 1, 1, 0, 1]"
andrewswharton,https://www.andrewswharton.com/privacy,"[1, 1, 2, 1, 2]","[2, 1, 2]","[1, 1, 1, 1, 1, 1]"
analyticsiq,https://www.analytics-iq.com/privacy-policy/,"[1, 1, 2, 2, 1]","[1, 1, 2]","[1, 1, 1, 1, 1, 1]"
belardiostroyalc,https://www.belardiwong.com/privacy-policy,"[1, 1, 1, 2, 1]","[1, 1, 2]","[1, 1, 1, 1, 1, 1]"
decidetechnologies,https://www.decide.co/privacy,"[1, 1, 2, 2, 2]","[2, 1, 2]","[0, 0, 0, 0, 0, 1]"
taboola,https://www.taboola.com/privacy-policy,"[1, 1, 2, 2, 2]","[1, 1, 2]","[1, 1, 1, 1, 0, 1]"
backgroundcheckscom,https://www.backgroundchecks.com/privacy-policy,"[1, 1, 1, 2, 1]","[1, 1, 2]","[1, 1, 1, 0, 0, 1]"
activeintelinvestigations,https://www.activeintel.com/terms-conditions-copy/,"[1, 2, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 0, 0, 1]"
experianmarketingsolutions,https://www.experian.com/privacy/us-consumer-data-privacy-policy,"[1, 1, 2, 1, 2]","[1, 1, 1]","[1, 1, 1, 1, 1, 1]"
semcastingcom,https://www.semcasting.com/privacy_policy,"[1, 1, 2, 2, 1]","[1, 1, 2]","[1, 1, 1, 1, 1, 1]"
rooftopdigital,https://www.therooftop.io/privacy-policy/,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 0, 1]"
komodohealth,https://www.komodohealth.com/privacy-notice/,"[1, 1, 0, 0, 2]","[2, 1, 2]","[1, 1, 1, 1, 1, 1]"
explorium,https://www.explorium.ai/privacy-policy/,"[1, 0, 1, 2, 0]","[2, 1, 2]","[1, 1, 1, 1, 0, 1]"
hubspot,https://legal.hubspot.com/privacy-policy,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 0, 1]"
remodelingcom,https://remodeling.com/privacy-policy/,"[1, 1, 2, 2, 1]","[1, 1, 2]","[1, 1, 1, 1, 0, 1]"
diablomedia,https://www.diablomedia.com/privacy/,"[1, 1, 1, 2, 2]","[2, 1, 2]","[1, 0, 1, 0, 1, 1]"
nexxen,https://nexxen.com/privacy-policy/,"[1, 1, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 1, 1]"
service1stinformationsolutions,https://www.srv1st.com/privacy-policy,"[1, 2, 2, 2, 2]","[2, 1, 2]","[1, 1, 1, 1, 0, 1]"
boardex,https://boardex.com/privacy-policy,"[1, 1, 1, 1, 1]","[1, 1, 1]","[1, 1, 1, 1, 0, 1]"
tmobileusa,https://www.t-mobile.com/privacy-center/our-practices/privacy-policy,"[1, 1, 2, 1, 1]","[1, 1, 2]","[1, 1, 1, 1, 1, 1]"
knowwho,https://www.knowwho.com/service/privacy/,"[1, 1, 1, 2, 1]","[1, 1, 1]","[1, 1, 1, 1, 1, 1]"
novalistcompany,https://www.novalist.com/privacy-policy,"[1, 2, 2, 2, 2]","[2, 1, 2]","[0, 0, 0, 0, 0, 1]"
